date,Model_name,Batch_size,Resolution,No. training,No. testing,Training Epoch,More,box_loss,obj_loss,cls_loss,precision,recall,mAP_0.5,mAP_0.5:0.95,No. star,No. BH,Time,BH_lower_size,BH_upper_size,init_size,wavelength,D,F,angular_pixel_size_input_image,CCD_pixel_size,CCD_pixel_count,noise_radius
2024-03-02_10-15-08,yolov5,8,1024,800,200,300,,0.012323,0.017345,0.005707,0.87345,0.7098,0.91755,0.66251,10,1,6743.175416,30,50,3072,1.00E-07,6.5,131.4,0.00013,8.28E-08,3072,3
2024-03-02_12-11-55,yolov5,16,1024,800,200,200,,0.015184,0.021386,0.012852,0.86438,0.584,0.93019,0.60565,10,1,4428.973065,30,50,3072,1.00E-07,6.5,131.4,0.00015,9.56E-08,3072,3
2024-03-02_13-25-45,yolov5,16,1024,800,200,200,,0.015096,0.019711,0.0094046,0.52665,0.92527,0.90314,0.55459,10,1,2812.295389,30,50,3072,1.00E-07,6.5,131.4,0.00017,1.08E-07,3072,3
2024-03-02_14-12-37,yolov5,16,1024,800,200,200,,0.013807,0.018039,0.0057683,0.83863,0.76018,0.9452,0.66732,10,1,1892.879086,30,50,3072,1.00E-07,6.5,131.4,0.00019,1.21E-07,3072,3
2024-03-02_14-44-10,yolov5,16,1024,800,200,200,,0.012029,0.017072,0.0051578,0.84256,0.78438,0.95035,0.69731,10,1,2360.427024,30,50,3072,1.00E-07,6.5,131.4,0.00021,1.34E-07,3072,3
2024-03-02_15-23-30,yolov5,16,1024,800,200,200,,0.017211,0.021509,0.0064836,0.8887,0.68997,0.94877,0.593,10,1,2123.882754,30,50,3072,1.00E-07,6.5,131.4,0.00023,1.47E-07,3072,3
2024-03-02_15-58-54,yolov5,16,1024,800,200,200,,0.012132,0.015812,0.0021267,0.95712,0.88908,0.9703,0.71415,10,1,2315.360112,30,50,3072,1.00E-07,6.5,131.4,0.00025,1.59E-07,3072,3
2024-03-02_17-11-19,yolov5,16,1024,800,200,300,,0.011863,0.017072,0.0016745,0.9658,0.9202,0.97402,0.72313,10,1,3181.414502,30,50,3072,1.00E-07,6.5,131.4,0.00025,1.59E-07,3072,3
2024-03-02_18-04-20,yolov5,16,1024,800,200,300,,0.012664,0.017667,0.0015202,0.95625,0.92429,0.97118,0.71148,10,1,3404.006991,30,50,3072,1.00E-07,6.5,131.4,0.00027,1.72E-07,3072,3
2024-03-02_19-21-39,yolov5,16,1024,800,200,300,,0.011863,0.017072,0.0016745,0.9658,0.9202,0.97402,0.72313,10,1,3170.843659,30,50,3072,1.00E-07,6.5,131.4,0.00025,1.59E-07,3072,3
2024-03-02_20-14-30,yolov5,16,1024,800,200,300,,0.012664,0.017667,0.0015202,0.95625,0.92429,0.97118,0.71148,10,1,3137.604286,30,50,3072,1.00E-07,6.5,131.4,0.00027,1.72E-07,3072,3
2024-03-02_21-21-30,yolov5,16,1024,800,200,300,,0.013557,0.017673,0.0011566,0.98653,0.94457,0.97678,0.72964,10,1,2136.619113,30,50,3072,1.00E-07,6.5,131.4,0.00029,1.85E-07,3072,3
2024-03-02_21-57-07,yolov5,16,1024,800,200,300,,0.013701,0.018763,0.0009901,0.97722,0.94414,0.97693,0.71899,10,1,1872.908567,30,50,3072,1.00E-07,6.5,131.4,0.00031,1.97E-07,3072,3
2024-03-02_22-28-20,yolov5,16,1024,800,200,300,,0.011459,0.01515,0.00071662,0.99868,0.96525,0.97692,0.75209,10,1,2293.325654,30,50,3072,1.00E-07,6.5,131.4,0.00033,2.10E-07,3072,3
2024-03-02_23-06-33,yolov5,16,1024,800,200,300,,0.011621,0.015144,0.00065853,0.99684,0.95939,0.977,0.76221,10,1,8504.147047,30,50,3072,1.00E-07,6.5,131.4,0.00035,2.23E-07,3072,3
2024-03-03_01-28-18,yolov5,16,1024,800,200,300,,0.013147,0.019249,0.00057921,0.99636,0.9705,0.9783,0.73041,10,1,3675.612501,30,50,3072,1.00E-07,6.5,131.4,0.00037,2.36E-07,3072,3
