,Pred,Real
121,-163.6986,191.41199
122,85.989,89.48843
123,1.0542501,6.8466754
124,95.8298,101.6911
125,-151.73792,191.46263
126,-180.50313,161.08705
127,-83.90279,270.8468
128,55.018738,60.3675
129,-64.37866,299.34143
130,-78.273766,282.91132
131,-92.502716,272.10925
132,41.526733,42.099155
133,-47.029926,305.40506
134,-153.16956,188.26627
135,-67.64353,290.19016
136,51.39378,51.238293
137,-176.38487,170.40506
138,146.50708,152.37082
139,-45.99657,317.1235
140,101.34454,112.49882
141,-1.1040643,358.01517
142,-157.26723,201.7633
143,-107.267006,251.82849
144,-110.93972,239.8896
145,-148.26338,207.7831
146,155.02429,183.72838
147,86.34709,88.341896
148,69.45024,74.96212
149,64.201935,61.69543
150,66.18508,72.749146
151,-152.88551,202.72382
152,-46.048477,309.13345
153,-69.17184,277.12823
154,113.8599,109.93089
155,92.33683,86.07159
156,35.018307,35.76679
157,62.091965,59.224026
158,-43.570805,313.59998
159,60.008797,57.916664
160,150.09679,160.6918
161,21.614363,19.62048
162,-64.67683,290.82022
163,-13.717369,342.98416
164,-146.4998,208.11963
165,-132.00642,223.9689
166,53.694138,61.802155
167,-127.74097,225.42725
168,-72.444275,278.21762
169,-98.90122,248.99228
170,-75.68527,265.4619
171,-141.04237,211.77109
172,-184.075,170.4809
173,-143.63278,211.03905
174,-0.61435443,356.91397
175,-101.93892,256.9931
176,174.85141,196.58781
177,-40.037567,319.77173
178,154.06903,148.58679
179,-21.000534,332.8187
180,-119.08984,231.37256
181,144.73901,147.46245
182,83.213295,86.93357
183,-50.844643,302.94626
184,-82.34856,274.8551
185,-14.595401,347.37265
186,-88.872505,269.29495
187,111.76084,118.98706
188,-58.59125,291.63388
189,-136.74254,218.9485
190,153.90149,153.90176
191,-162.24875,193.93733
192,137.72475,138.37128
193,-31.38432,319.9257
194,78.3227,81.95044
195,-147.47835,214.90182
196,-142.13599,221.17017
197,18.901077,19.873594
198,98.79874,99.49972
199,94.46637,94.124855
200,123.23907,133.8246
201,-144.3024,201.52133
202,30.03554,35.019005
203,78.44067,95.05192
204,115.15054,116.15236
205,60.264214,57.359596
206,-141.64972,204.16121
207,75.16827,77.79028
208,155.75182,163.93059
209,100.68744,110.3829
210,-71.91892,286.91138
211,-136.7766,207.24983
212,93.686005,90.13666
213,-0.18503451,0.6686624
214,-83.25597,276.96527
215,37.140133,39.41864
216,-12.111122,343.82126
217,-22.49513,331.95547
218,56.011883,57.94003
219,-93.052025,266.0344
220,-15.79323,342.70026
221,126.09497,136.62947
222,-9.184766,346.74957
223,-111.448845,239.55115
224,158.1099,151.7209
225,-104.17715,248.93666
226,61.506668,65.2951
227,-126.39094,232.37463
228,-174.92845,178.65758
229,-113.99107,243.01439
230,-105.47818,243.53891
231,40.83225,38.388252
232,-109.889465,242.18826
233,84.82225,83.81081
234,-17.370752,339.86404
235,32.817295,32.78237
236,86.413826,104.18703
237,-52.559288,295.91476
238,77.85468,95.0004
239,-139.2269,210.08284
240,-42.405743,316.67697
241,57.61799,58.11981
242,96.119675,98.41491
243,136.86601,143.14182
244,-151.8996,202.62495
245,89.29193,81.81536
246,-137.4515,208.7591
247,113.88512,121.003204
248,-20.602884,335.97284
249,-52.823696,314.9277
250,45.546764,40.762993
251,136.10773,134.40213
252,-146.32977,209.14989
253,4.116914,6.4696274
254,-32.5284,322.96835
255,-27.533611,329.3803
256,20.723587,19.056139
257,-68.22603,289.49237
258,-183.25821,171.2934
259,153.5836,147.15178
260,-117.465546,241.37592
261,-7.532431,350.9051
262,-37.884377,325.67868
263,-169.80205,186.59483
264,-64.68327,294.6166
265,64.9941,65.06367
266,129.72957,133.11063
267,-62.72723,296.02994
268,74.03677,80.21517
269,-164.63835,191.84834
270,-37.517387,327.9179
271,-74.525154,283.19315
272,96.59927,84.81381
273,142.25258,141.79405
274,-131.02217,230.62209
275,60.554214,62.701447
276,12.892317,12.014151
277,87.54893,96.49277
278,-134.94836,210.57823
279,84.93551,101.56116
280,78.18162,77.536064
281,-91.75242,270.09113
282,51.581226,51.317028
283,-148.82756,205.4569
284,174.63947,174.89088
285,-123.84958,226.66377
286,-118.65292,227.57114
287,35.433086,41.413128
288,62.366554,71.561516
289,-73.65965,280.69522
290,-164.51878,187.6238
291,-89.09797,266.2012
292,104.48753,118.17709
293,-94.48722,262.72314
294,39.15186,41.101273
295,65.79656,68.56972
296,119.11327,129.43744
297,89.11054,98.673935
298,137.59915,138.51625
299,-155.93132,200.34755
300,-96.8022,250.30571
301,-30.987543,329.4827
302,-66.10784,287.86237
303,-180.8674,174.60927
304,-7.0727434,350.87906
305,-65.65692,294.31082
306,144.24527,140.62837
307,103.08245,110.99348
308,19.448938,16.394249
309,-45.226776,312.83728
310,-72.26536,280.91522
311,-40.479584,318.09167
312,168.92415,162.4612
313,-61.32718,296.89066
314,51.37957,54.314636
315,-55.028515,299.75168
316,68.34379,63.562748
317,98.99061,112.51192
318,-112.896065,241.57596
319,-93.39672,253.7742
320,-101.31858,254.14484
321,66.139885,69.793434
322,43.703014,43.414494
323,-162.54236,191.34225
324,55.491722,62.797543
325,-121.49288,241.90845
326,149.58841,163.47227
