date,Model_name,Batch_size,Resolution,No. training,No. testing,Training Epoch,More,box_loss,obj_loss,cls_loss,precision,recall,mAP_0.5,mAP_0.5:0.95,No. star,No. BH,Time,BH_lower_size,BH_upper_size,init_size,wavelength,D,F,angular_pixel_size_input_image,CCD_pixel_size,CCD_pixel_count,noise_radius
2024-02-14_23-13-17,yolov5,8,1024,2400.0,600.0,10,,0.016775,0.022785,0.0054366,0.56938,0.75875,0.68926,0.35677,10.0,1.0,517.6493813,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00015,9.55567e-08,3072.0,
2024-02-14_23-21-55,yolov5,8,1024,2400.0,600.0,10,,0.018909,0.026391,0.0054985,0.53124,0.77271,0.6584,0.33023,10.0,1.0,522.0679486,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00016,1.01927e-07,3072.0,
2024-02-14_23-30-37,yolov5,8,1024,2400.0,600.0,10,,0.019877,0.024389,0.0048482,0.90284,0.62713,0.72962,0.39913,10.0,1.0,714.5794234,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00017,1.08298e-07,3072.0,
2024-02-14_23-42-32,yolov5,8,1024,2400.0,600.0,10,,0.021083,0.025973,0.005431,0.76425,0.67542,0.73461,0.33814,10.0,1.0,535.7127607,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00018,1.14668e-07,3072.0,
2024-02-14_23-51-28,yolov5,8,1024,2400.0,600.0,10,,0.02019,0.025918,0.0045809,0.88008,0.67792,0.77147,0.37738,10.0,1.0,537.8479237,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00019,1.21038e-07,3072.0,
2024-02-15_00-08-53,yolov5,8,1024,2400.0,600.0,300,,0.013246,0.018415,0.0063184,0.70061,0.63239,0.70782,0.45943,10.0,1.0,4982.995892,30.0,50.0,3072.0,1e-07,6.5,131.4,5e-05,3.18522e-08,3072.0,
2024-02-15_09-55-12,yolov5,8,1024,2400.0,600.0,300,,0.013246,0.018415,0.0063184,0.70061,0.63239,0.70782,0.45943,10.0,1.0,5015.185827,30.0,50.0,3072.0,1e-07,6.5,131.4,5e-05,3.18522e-08,3072.0,
2024-02-15_11-18-47,yolov5,8,1024,2400.0,600.0,300,,0.013931,0.020136,0.012649,0.54035,0.90273,0.74824,0.4604,10.0,1.0,5883.035633,30.0,50.0,3072.0,1e-07,6.5,131.4,6e-05,3.82227e-08,3072.0,
2024-02-15_12-56-50,yolov5,8,1024,2400.0,600.0,300,,0.017918,0.020986,0.0056462,0.78045,0.65488,0.77091,0.43978,10.0,1.0,3967.101249,30.0,50.0,3072.0,1e-07,6.5,131.4,7e-05,4.45931e-08,3072.0,
2024-02-15_14-02-58,yolov5,8,1024,2400.0,600.0,300,,0.017966,0.024548,0.012936,0.50945,0.91563,0.71347,0.43235,10.0,1.0,3952.770894,30.0,50.0,3072.0,1e-07,6.5,131.4,8e-05,5.09636e-08,3072.0,
2024-02-15_15-08-50,yolov5,8,1024,2400.0,600.0,300,,0.010846,0.016645,0.0028498,0.90027,0.71322,0.79782,0.55122,10.0,1.0,9886.078177,30.0,50.0,3072.0,1e-07,6.5,131.4,9e-05,5.7334e-08,3072.0,
2024-02-15_17-53-37,yolov5,8,1024,2400.0,600.0,300,,0.022276,0.02621,0.010019,0.67957,0.65607,0.75626,0.37768,10.0,1.0,3898.910765,30.0,50.0,3072.0,1e-07,6.5,131.4,0.0001,6.37045e-08,3072.0,
2024-02-15_18-58-36,yolov5,8,1024,2400.0,600.0,300,,0.017701,0.023117,0.0064913,0.75911,0.66792,0.72531,0.42726,10.0,1.0,3793.687056,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00011,7.00749e-08,3072.0,
2024-02-15_20-01-49,yolov5,8,1024,2400.0,600.0,300,,0.019137,0.023188,0.0057536,0.78867,0.66167,0.72105,0.34581,10.0,1.0,3786.408865,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00012,7.64453e-08,3072.0,
2024-02-15_21-04-56,yolov5,8,1024,2400.0,600.0,300,,0.017993,0.021851,0.0051638,0.86168,0.66604,0.76909,0.42907,10.0,1.0,3831.122254,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00013,8.28158e-08,3072.0,
2024-02-15_22-08-47,yolov5,8,1024,2400.0,600.0,300,,0.021598,0.024593,0.006636,0.89407,0.67208,0.76257,0.40622,10.0,1.0,3865.465955,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00014,8.91862e-08,3072.0,
2024-02-15_23-13-13,yolov5,8,1024,2400.0,600.0,300,,0.017139,0.022153,0.0065762,0.84784,0.69458,0.77712,0.43928,10.0,1.0,3758.673336,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00015,9.55567e-08,3072.0,
2024-02-16_00-15-52,yolov5,8,1024,2400.0,600.0,300,,0.020843,0.023443,0.0068374,0.74702,0.60827,0.80529,0.41823,10.0,1.0,3877.069211,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00016,1.01927e-07,3072.0,
2024-02-16_01-20-29,yolov5,8,1024,2400.0,600.0,300,,0.023139,0.026407,0.0047413,0.87108,0.65707,0.75365,0.35729,10.0,1.0,3777.05014,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00017,1.08298e-07,3072.0,
2024-02-16_02-23-26,yolov5,8,1024,2400.0,600.0,300,,0.023283,0.024465,0.004826,0.85103,0.69129,0.77875,0.42111,10.0,1.0,3777.821204,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00018,1.14668e-07,3072.0,
2024-02-16_03-26-24,yolov5,8,1024,2400.0,600.0,300,,0.023446,0.024594,0.0053113,0.88519,0.73792,0.81898,0.44566,10.0,1.0,3771.500311,30.0,50.0,3072.0,1e-07,6.5,131.4,0.00019,1.21038e-07,3072.0,
2024-02-19_09-46-10,yolov5,8,1024,2400.0,600.0,300,,0.029117,0.027793,0.0068438,0.41333,0.49,0.43979,0.22234,10.0,1.0,9140.9051397,30.0,50.0,3072.0,1e-07,6.5,131.4,1e-05,6.370445785761036e-09,3072.0,10.0
